"subject_id","date.x","sumsexp","sumscon","expbf","conbf","conrw","exprw","respid","interview_start","interview_end","country","q5a_1","q5b_1","q2_1","q2_2","q2_3","q2_4","q2_5","q2_6","q2_7","q3_1","q3_2","q3_3","q3_4","q3_5","q3_6","q4_1","q6","gender_image","S2","agegroups","totaltime"
"xayLTWfMYSqAwfGA2-4BuH5x5OmjRfPsLNotGToRhzqmvNC5YljpU3PzPlAMwp2I531u_pn8vOL8NTQ4JHiqba88ixT7sbkuJIkJIHnVJV41","2019-10-07T12:47:20Z",10,8,1,1,-2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZU54j9k9pNcpDIM0XhniQYyEiJUyl6-v8X_Z2SY-UXGeuda6-AmtycKZGIUp0zO49dwf0dRf2i6WoOIIU-fTIIe8MlsEgXD0j8aCgieuwjI1","2019-10-07T13:32:24Z",8,5,1,1,-7,-2,341,43745.5215918634,43745.5274921644,"Deutschland",1,5,2,6,2,3,1,1,7,5,1,4,2,1,4,5,"keine ahnung",1,69,6,473
"S9nsQ42PiEQS4H1O8QUfN7U8HMIIHwGqXNWqVqESLye6ZmSts2hUgJSnHC-7OpHIpRs_4bzJEGf_NCP6Zw4CMGoikwi_RmgvPXEsRUENujI1","2019-10-07T13:34:06Z",7,11,0.7849883655022397,0.8134427236992776,-6,-5,436,43745.5225891204,43745.5285601852,"Deutschland",3,4,5,5,6,4,3,5,5,4,3,3,3,3,4,5,"Aufmerksamkeit",2,65,6,478
"Ik_IkqJKmg7n3zw3JiKVDCwvcjmiO5Is0v94FWcF5R41OhkamcikKo5dQ5QFbjZpbtuAwQfMwco744WFAaFWnQ5SxjsvNiTWnuhd0qPHWm41","2019-10-07T13:37:22Z",12,8,0.8321468370282803,0.7584981992936513,-8,-3,199,43745.5240962963,43745.5302859954,"Deutschland",1,1,7,7,6,5,7,4,1,1,4,3,1,4,3,5,"Wie die Bilder auf den Betrachter wirken?",1,67,6,509
"KS2QAhwkmETW20ibEDVzf7zgSrIl1phQRtvKrgVi91ssPJOv4NpTCVPTOxY-wWrTzKypdV-TaHqHM3J_GJoO-D5pdLHdJBkP6tmLxuiJSAw1","2019-10-07T13:37:47Z",9,10,0.786535936501286,0.7355771215982848,-8,-4,251,43745.5219569097,43745.5310950232,"Deutschland",4,3,7,5,6,7,2,5,3,2,4,3,3,3,4,5,NA,2,55,5,741
"OsjGXT0RNI1sTHSZuEJWKBP0FeSncNwnCoDFgbfnCygITPnoBnAEER5OR35TisyOfHkNALPZMy9746fzBuK1NNDOb7NC4Gvwckh0JEJ7ZCE1","2019-10-07T13:39:07Z",11,6,0.8054053167260226,0.6797107859290862,-12,-3,260,43745.525346794,43745.5325013889,"Deutschland",1,3,3,3,2,3,2,3,5,4,2,4,2,1,4,5,"Wahrscheinlich, welche Bilder einen negativen Eindruck hinterlassen haben.",2,69,6,533
"25YeanW8owEzNxzwG3fQbHfFPmXOvPFAhXexduyznHbI60WH2ZtlspVmIsOhQh3LWFX2e-Mfd3R948QhaslgqmWMUghlTqae0XfwDf2cqog1","2019-10-07T13:41:50Z",9,13,0.7617243652113879,0.7240035030236597,-9,-4,208,43745.5267491088,43745.5330165857,"Deutschland",1,4,6,4,6,3,2,6,5,3,3,3,2,2,3,5,"Geduld",2,69,6,532
"RaT_ylfHySyDJz9SmQ0aYKGq8c3wcr6l3L_wP79v6rVk9jd7Bbp45sTREbxZ9l4XmU7cu1NgHcgQaxDhxQ1H7hv2Om86tQLoO1PRWacv6m81","2019-10-07T13:42:36Z",13,10,0.8691779096548502,0.7095166959063006,-9,-1,223,43745.5225077199,43745.5369494213,"Deutschland",1,5,5,3,5,4,2,2,6,3,4,5,2,1,4,4,"Es sollte untersucht werden, ob Personen, die wiederholt schlechte Bilder sehen, diese eher im Flackern vorher erahnen, Herzklopfen haben und diese überhaupt spüren können. Wie reagieren Menschen inne",2,48,4,1176
"eGiDnCcrH8HA-BSsVd7fqfNEI57bvrwoI6x1PwSgkPEZwj9hqzM-bift-FjDTUsgoDEq8mIpXQrG-w5JIm_AcNkA1-YMtdrr8YexkNPZXlw1","2019-10-07T13:42:57Z",9,9,0.8263102691628379,0.6802246576702425,-10,-2,164,43745.5282728356,43745.5355375,"Deutschland",1,3,5,6,2,5,3,3,4,2,2,5,3,3,1,5,"Menschen und Ihr TUN Umwelt",2,82,6,582
"GmYuTorDym8NaL2ztVs310vU9LLvJU449J4ESTGS6jxzq0QRJW0DhU7JsRcW2DNo5nlAuIVg2WaukXVfTjg73xgln51FHCXTTiaIh5HHP7o1","2019-10-07T13:46:16Z",9,11,0.7853716018559831,0.6870499025515845,-9,-3,677,43745.5313289005,43745.5371343403,"Deutschland",1,5,6,6,6,6,4,3,2,4,3,2,3,3,2,5,"Merkfähigkeit?",1,49,4,464
"TUldXOZcGIJX1nrapRU0sRM0ouqzgBPzwo8QE3WCLauX-utv3-C3bBVjYT46kYPVgTKtP3TNBSp_tQ1FQ2uZ6gOYcE6Nw9WLmC2RKmcjFYs1","2019-10-07T13:47:01Z",6,12,0.6955053507494167,0.7195316918773537,-7,-7,243,43745.5305670486,43745.5380783565,"Deutschland",1,2,7,5,3,2,4,3,5,4,2,5,2,2,3,5,"ob ich alle kucke",1,60,5,596
"W4_pk8V3OE5V6vxdmPuyILF6EQxiJ4YPmQZIbLOIH9du_apVXiB0IHNgDWu7TalLHrPqErg-QgbCdD8oacv0ry4VSote9dv1SHLsjTJfy-o1","2019-10-07T13:49:11Z",11,8,0.7103947800098815,0.6759383273715266,-9,-6,239,43745.5323980324,43745.5397363773,"Deutschland",3,2,7,7,2,5,2,3,5,4,1,5,2,2,5,5,"die Reaktion auf gute und schlimme Sachen",1,56,5,563
"24ByIBhOrLyJ6vldO3S-Orvmn8qTMQXYHN3d-ZukZkhT9F_Ezu82rckt3RikX3Jsxrn__ZhYEfw4QuF9KcC-4GUnecOrk7GCZw-lEUj5gjc1","2019-10-07T13:49:51Z",13,11,0.7887909997972148,0.6865672287306046,-8,-3,202,43745.5337898958,43745.5411171296,"Deutschland",2,2,5,5,5,5,4,5,4,2,3,2,3,4,3,5,"Keine Ahnung... Gefühlsreaktionen?",1,32,2,617
"A98-ugKSKlKp0QnG6fcElFalCpc0Y8MhjWSDofGwcPdxq9wamHKd7ypjfSF6JEQ9ZemclMbnuWS3R-nJ1-GJzDePnON1ObZKPv_ZNrUQDRs1","2019-10-07T13:50:18Z",10,8,0.7819159617439376,0.6453021702722137,-10,-3,20,43745.5339043634,43745.5411787384,"Deutschland",3,4,5,5,3,3,2,3,6,4,1,4,2,2,2,5,"Welchen Eindruck/Effekt/Gefühle unterschiedlich geartete Bilddarstellungen beim Menschen auslösen.",1,47,4,559
"LmRApVYBn4Bjkd8R_ApuM_41rdLyeB7zrzeVrGOOmV3TN0dZJwE8-AHq008lhUE2BCRISNtkONs6Y3QYxLAWHdFaWAs_973mziz0eVGweQ01","2019-10-07T13:50:39Z",8,13,0.7261920435642709,0.7023471344152684,-7,-5,295,43745.5324543634,43745.544534294,"Deutschland",1,5,5,5,5,5,1,4,6,4,2,3,3,2,4,5,"Umweltschutz,Umweltschmutz, Leben Miteinander,  Mensch und Tier, Krieg, Gefahr, Wie reflektieren wir all diese Dinge, wie positiv und wie negativ werden wir mit den Problemen umgehen?",1,72,6,929
"DFq8EJSQHCfiDZ7jy_RVwkFVA_23H8yOD67gZajezxplQbhCkVz_Jixgs8gJ7cuHRQA6BbhfgQmBz_cMlpQPdIxupJxhDxkVsSBOoAcac3E1","2019-10-07T13:54:15Z",9,8,0.6961411321478438,0.6604515341349967,-9,-6,267,43745.5366921644,43745.5416580208,"Deutschland",3,4,4,5,5,5,3,5,5,4,2,4,3,2,4,3,NA,2,27,2,419
"fLtla6V7mBsPNb26iHT3ETberA4Be44Ml7RVvj106SwxjGHRw9vRXr2jFIN-JR0U_RxAv8sp4FopGwGpSLAGVKpMC_Q6Lknblyd_1I1lHgo1","2019-10-07T13:55:04Z",12,9,0.7425189481783893,0.6361805978082139,-10,-4,224,43745.5365368866,43745.5433226505,"Deutschland",1,4,5,5,4,4,1,3,4,3,2,4,2,3,5,4,"unfälle, umwelt, Krieg, gewalt, auswirkungen",1,61,5,531
"xb8Yo3Drvup545izy3ziR_Hyk_5ysevEBisX8H5JpbVpqDZyAiCd41m38Z3EfZdr-ITu30_1LYT_4v2t4b3xYltw0fqB_SNHsA9T9-8cR5o1","2019-10-07T14:01:41Z",6,11,0.6601645693988419,0.6477952745642431,-9,-8,253,43745.5413475347,43745.5473245718,"Deutschland",1,4,6,5,2,5,2,3,3,4,3,4,2,2,5,5,"Empfindungen",2,71,6,499
"csptvQqWyMgB7Agv4AcrsGRdGzS3VCWpAQdYn-1TObd4C79_J3EHz4vkP0bprmM_kgT-isKPWnwCcNPAF7BsYLY3W5HaKFE62dwbXD17usI1","2019-10-07T14:02:54Z",10,9,0.6534976999398697,0.6239619768300054,-10,-8,681,43745.541718669,43745.5493605324,"Deutschland",3,5,5,6,4,5,2,4,7,3,4,4,2,1,5,5,"Merkfähigkeit?",2,52,4,577
"8Fv7r5DT-4H-GTZZ8USVrzbit6jXIirXnKJSYnUV23yo2qsmymvlA05gmEJR5Rc3trwkKpMNDdvz3hrx7nD87EqLfM2xjwmS20rZi-k4rJw1","2019-10-07T14:06:13Z",13,11,0.718041427975699,0.6363673973809629,-9,-5,68,43745.5451376968,43745.5503488773,"Deutschland",1,5,7,1,7,7,1,1,7,5,1,5,5,5,1,5,"Was ichn gesehen habe",1,72,6,434
"3BnHpuEOTEnVE-V3lvRW_9UnZfCIW9UJc7iGLtPYGt2e004dc5s4L_rF6aShbb9M3bnqFsCNDmLt2KVO21B5jsB8YeV2sVxhVXaYA0y9Agw1","2019-10-07T14:06:59Z",9,13,0.6910394863167602,0.6963480406398134,-6,-6,383,43745.5456007292,43745.5511078357,"Deutschland",3,3,7,7,7,7,4,7,4,3,5,3,1,3,2,5,"Was mir im Sinn geblieben ist?",2,65,6,435
"3_2ln32yjygOIM7E89b_Fekif0c6s8A6e_uIlyTsRd1zrGd6gpemBRjI-kdMHZvwbF8Sd83RS_eH9wilTGCf71JyDIQwO1S_S5lV-lqzmLo1","2019-10-07T14:12:05Z",11,7,0.70841290394784,0.6389705985955622,-9,-5,232,43745.5490323264,43745.554878044,"Deutschland",1,3,6,5,3,4,2,3,5,4,3,4,2,2,4,5,"positive oder negative Bilder",1,65,6,459
"gpJTxbtVcMiFyHGnlDpBMde2YLl3NINNK1dNAoyx2-xLf8Bi1Ss4llp4ivCXFIHIPfxJizidr50SjziIpQlZM5TgkBTISu7fFykRfymHMiA1","2019-10-07T14:23:22Z",11,10,0.7273811419704125,0.633275377291357,-9,-4,138,43745.5562304051,43745.562834919,"Deutschland",1,4,6,5,6,5,2,4,7,5,2,5,2,2,5,5,"Reaktionen auf unterschiedliche Arten von Bildern?",1,47,4,529
"EmnntsBjyIc3GUe_cygtXgZO3HkUOMTLqciIfazqfCsFek7RoAbNL_JC4SsqyM-rlXsAq9dzzmPbUMmVggdbvqhtv_BvZqf8l9cWQtxWpns1","2019-10-07T14:24:14Z",14,6,0.8320677768314622,0.5750023745107079,-13,0,27,43745.5575263079,43745.5631789352,"Deutschland",2,3,7,6,4,5,2,5,5,4,2,4,3,2,5,5,"wie jemand auf positive und auf erschreckende Bilder reagiert",2,64,5,473
"rSyl81yAXdHpJ9uoDuuoNr_M2RSk7B2oJfDRJcwWzdK9imW0qAODN75AUwS2973MWJDiMtelBbUDzyyQ1UtBj4_wFsMs9orzM4WYnT42ltE1","2019-10-07T14:25:20Z",10,11,0.8283984600541264,0.5851490365122028,-12,0,725,43745.5573074074,43745.5653445255,"Deutschland",2,3,7,6,4,6,4,4,5,4,2,3,3,3,3,5,"die Wahrnehmung von Stimmungen wie Angst, Freude, Pech zu haben",1,44,3,570
"gi2u5U6UplRCPNE-ebky7iWYmQUxwVFoSw4MHS5JgKq-JUf4Kgst2XVSmrlNC9tQXf14DbUCy8rjye5d7pxZJtx4zllofrBrOmZeB9iA2HY1","2019-10-07T14:26:20Z",10,8,0.8248050606942434,0.5534487046733686,-14,0,74,43745.5586760417,43745.5656225694,"Deutschland",1,5,7,6,3,5,1,7,7,5,1,5,1,1,5,5,"wie konzentriert bin ich und wie kann mein Auge so vieles wahrnehmen",2,54,4,569
"2ORudMyaBbIAONhbDmAB9uVovg-Kr7WnlRDz2LpXjJkyFzD_9mc87pq0gtRYpJtwFCGO0lDP-ZU67D00z7o8NS-6n09iZGi2qyeHG2a_LF41","2019-10-07T14:32:25Z",13,8,0.9134546277193726,0.5242849009113965,-16,3,225,43745.5534324884,43745.5603703704,"Deutschland",1,5,7,6,1,6,1,3,7,5,1,5,1,3,5,5,"Was die Bilder ausstrahlen",2,74,6,494
"NnjiMqObayTjwuqgaFwQyj8UZkDaqtnK4pAoQZ4v_jkBbqDn1wox-BOErBupjb_225oBCzjmmEU8-38yu2mw02wbzw9XPZnls93FlxUKWsM1","2019-10-07T14:37:26Z",13,11,1.0141504654606455,0.5331010106402989,-15,6,40,43745.5660587616,43745.5727384607,"Deutschland",1,3,7,6,6,5,1,4,4,4,2,4,2,2,4,5,NA,1,67,6,541
"X4dtUt7DqHMVKbxNW3uWRN07qB6aM6P0G2c6TN3ypO-uSMrLz_S45vAuzhhIjpsDzkkD9fnRRBfyZFJdJRycAmt0NVevvyzzzc6E1ip14vo1","2019-10-07T14:44:09Z",10,8,1.0126706602143545,0.5053138976454965,-17,6,336,43745.5698051273,43745.5778948727,"Deutschland",1,3,6,5,2,5,4,3,4,4,2,3,3,3,4,5,"wie lange man sich etwas behalten kann, wegen z. B. werbung ?",2,67,6,625
"1bXo3fkeqq0OHNMvGZVBsKIhE5ZmwHEM-Vt1CXTeXCoY3hnoLTUxV7Ta8Vc28zqCUokgK66raXo-O7ryk2FsFA0md6GPpjRc3mMdB1FDPxc1","2019-10-07T15:01:13Z",7,10,0.8988021033035549,0.5004763553303954,-17,3,690,43745.582396331,43745.5897304398,"Deutschland",5,5,7,7,5,7,3,4,3,4,3,3,3,2,2,5,NA,1,25,2,528
"PXifpM964C4GewKfz9lSQdQcvlAxbZw019w7kUva6JVJDmmZhVBIsaXJZe6Yk-I69pdyxG4YWtSCehm4WMAQgTV91JMFpLSTp0mMR07bf7E1","2019-10-07T15:21:54Z",8,8,0.8352734413242803,0.4749672864320988,-19,1,83,43745.5958106134,43745.6034045949,"Deutschland",4,3,7,4,4,5,4,4,5,3,5,3,3,4,3,5,"keine Ahnung. Denk oder Merkvermögen.",1,41,3,638
"SSjgQ0GmYx7XIKwRApwyIkiF8rnH-B6GqNHNeZaUlXWBIBiVdAkOPez_LbYuplRZQW4T_GcLdQUODPeobFKSD9X7fSbLbKupxnI6e_EsA2o1","2019-10-07T15:26:58Z",11,6,0.8612423328311877,0.4398114654565258,-23,2,196,43745.5981751505,43745.6069345718,"Deutschland",2,4,5,5,4,5,3,5,6,4,4,4,3,3,4,5,"keine Ahnung",2,68,6,449
"P_3YTQG_txxf1Cw-9XrboI3s3Bd_ajKintp6bdYqlhQc191OFjf_PRFp__Q-sPXN89fG05-aNQICg5LeTdyhNtxc08BW_93bMCIaxrRmwyw1","2019-10-07T15:30:42Z",8,12,0.8014827139058787,0.4583964612818586,-21,0,454,43745.6020356134,43745.6112559375,"Deutschland",1,5,7,5,5,5,1,2,5,5,2,4,1,1,3,5,"Umweltverschmutzung, Unfälle, ärztliche Versorgung, feuer, Mord",1,64,5,750
"W_0J8ecULtyZp6SgkePfHQtSjUPPI4KkmxT_0at_oANcfaXGfAuM7YWcBntWzYznW912yzCND86AvKSJiDuwT3I5IWlNeCysdE0FTI2A5Lw1","2019-10-07T15:38:29Z",13,11,0.8828973159928301,0.4654124001311343,-20,3,290,43745.6081693287,43745.6152680208,"Deutschland",4,3,7,6,5,5,6,5,1,1,3,1,3,2,2,5,"meine Einstellung zu Gewalt und Umweltverschmutzung",2,66,6,555
"msEDIe4QR0SsqN15HFLddETZEqZT74BTtaR5i8HmVFq6-A8pcROXRaifyaEB8YJZhu64az0wnln3jDAKb898CUtEp6zJB8oRgJ7TLYvSJcs1","2019-10-07T15:54:10Z",8,12,0.8218213782497974,0.4862457787291583,-18,1,90,43745.6200978357,43745.6255026273,"Deutschland",2,3,3,4,3,2,1,2,4,4,3,4,2,2,4,5,NA,2,54,4,464
"9eW7i_RrnwCHEdKAlCl9Qquzjl1ca9vRl6CtBxUIme2Uuo7kZPsVUj1ScI5dkilFOvKswruXKnAO4-8rasDmDPJQZ-H918vbFBf1NkU2Xh81","2019-10-07T15:58:41Z",11,5,0.8469125289284635,0.4444233618760996,-23,2,159,43745.6194258102,43745.633205706,"Deutschland",3,3,4,4,4,4,2,3,5,3,2,4,3,2,4,5,"keine ahnung",1,36,3,1106
"xHDQ-cE0ddf-egWqeMXB0olr7sF8oaki5S4qStHdypHjf9IeT9znngEf8HvS2uKvv4JI5xRLPZohFtEjohlMruRRzrfr38KR-l2vUu79MoU1","2019-10-07T16:00:43Z",12,12,0.9039635371707004,0.4624369187953676,-21,4,19,43745.6243464468,43745.6296477662,"Deutschland",1,3,5,4,2,2,1,5,7,4,4,4,1,1,4,5,NA,2,60,5,435
"Ds9FUMFPx6yI_S4mQAWr-RbEqhQ_TYtT792hRQMtWp9C91vLVehXV76CfTJ38h7hkgVwCiSJfF3j4L0bDnLxQTQqigO9j0tid0qPZRWmcbY1","2019-10-07T16:03:47Z",10,6,0.9017495261290991,0.4291102677257511,-25,4,107,43745.6254645486,43745.6332847569,"Deutschland",1,3,6,6,6,5,1,4,6,4,3,4,3,3,4,5,"Umweltverschmutzung, Katastrophen",1,66,6,622
"EmVR3nc9QYO5JQFRwnBgFKGbDRT7XEbPfrxbj-UIx8rnM4TUL2BWKMctXwNW36DhCU523lHt4azWsF_DR4OSBP9hNchImoQzFfe9nDsIF-Q1","2019-10-07T16:10:10Z",7,11,0.8095297402260917,0.434861544255923,-24,1,87,43745.6304290856,43745.636469294,"Deutschland",4,5,6,6,6,6,6,6,6,4,5,4,5,5,4,3,NA,1,35,3,459
"u2FviBrbXJWYFqtJpIKXuMmuUx0I-fG3zAIFLndE8G009iw2xEFqA66SB5AUWDP3NjPXGCPRqG0Uw8SKvwswBoRFF8rI34L_Tek25VU94i01","2019-10-07T16:33:11Z",9,10,0.7807363738719785,0.4312046340386607,-24,0,162,43745.6471682523,43745.6522003819,"Deutschland",2,5,7,7,4,4,1,4,4,4,2,4,3,3,4,5,NA,2,59,5,418
"CcmKb2gIQt4paN8DsOREDC9PG5Ssc2xf8BBFBFuSnYAR_G0k8zQkG0exD_DpasO3Lh5ZYkF49Ap4LRuHEKNLzNdoydxm8yHw9Lf41Xe4bcM1","2019-10-07T16:42:58Z",10,10,0.7779445312854987,0.4276379678605443,-24,0,133,43745.653580706,43745.6592340625,"Deutschland",2,2,4,4,4,4,4,4,4,3,3,3,3,3,3,5,"welche Bilder am meisten Emotionen hinterlassen haben",2,44,3,476
"m09zmc1iz2QqdzJGsVewEf9TWzs6PbioX--B-mKM4f_YQwl-Llk9oVQvS1y56yEce1rWkTQyLyfQ_Bv3O1dgqr6dg7RsGpiaaB_0W1OjRPM1","2019-10-07T16:51:19Z",7,9,0.705593024500134,0.4157239545997616,-25,-3,628,43745.659756713,43745.6660933218,"Deutschland",4,5,7,7,6,7,4,6,7,4,5,5,4,5,3,5,"Wie meine momentane Gefühlslage nach den Bildern ist.",1,41,3,521
"gr2py0jq5ct-L6FSEcufzVxVg_AeZYE1qArRfnbt-uevCWexzGJ8bUc2a2MgB8TPXPYOeTW3LUJApQ9VKucheHkzjOtD7zHXiC0qc36jOZ01","2019-10-07T16:52:37Z",11,14,0.7248829087423475,0.4574560792883284,-21,-2,106,43745.659740544,43745.6663909375,"Deutschland",4,4,4,5,5,4,5,5,5,3,4,3,5,3,3,4,"Reaktion durch Augenbewegung",1,53,4,517
"s3tMGklUJwkNQVJx5WrnATvImS_ABJP6ovIxpK2-rhDcMlI7u1kGD_EwdVDFEArsy1YevG3HlxfI4Zl1pPkqGCtgdQIzO8AMqIYK-lHqnAI1","2019-10-07T16:58:37Z",12,11,0.7697956756975217,0.46465702201138,-20,0,102,43745.6645963773,43745.6709174421,"Deutschland",3,4,7,7,7,7,7,7,1,3,3,1,5,5,1,5,"das leben mit seinen vielen facetten",2,65,6,519
"QWb5__aBTXxJ6DIveghK7V5diIrcy1IMdarY2iOnkaoyr1-f7DosE1b89ZjPPBfOP2bAhWbNCuDwiSzmWHCn1hJROqQzu79vKig1JPRM-5w1","2019-10-07T17:00:54Z",8,10,0.720147327230215,0.4613749040551611,-20,-2,61,43745.6641528588,43745.6750423264,"Deutschland",1,2,6,7,4,6,1,7,4,4,4,3,4,2,4,5,"wie Menschen unterschiedlich dabei empfinden ?",2,78,6,818
"v_-qH0ZkoFOSRkpijjyO1iCp5-AC2n2KedAKAeRDwfs0YZLX3oXiSavZL7j6Ft5reePyt-y9YuUs4XQpV6HIIAt2dKvq5FHsFUte2WzbUeI1","2019-10-07T17:23:42Z",13,10,0.7893629400449079,0.4581620536046592,-20,1,95,43745.6817197107,43745.6887543171,"Deutschland",1,3,3,1,1,1,1,1,7,5,1,5,1,1,5,5,"keine Ahnung",2,69,6,530
"e2SFKrFAumokylY2H9HK-X8yd_iukmssa033Q2QPBjjkzIgXXTv3O8_VdqcMPE_Z7e5Dyg0Wlc5zVkpKP3UXmEha0N9eM8wAl_3PaNZtPtE1","2019-10-07T17:32:10Z",9,12,0.7619625677233424,0.477955488552824,-18,0,157,43745.6874823264,43745.6937590278,"Deutschland",3,2,7,6,1,4,5,4,7,5,3,5,2,1,5,5,NA,2,71,6,506
"Y9R1TU4axKDO3syQN3v-v0nCm9Wb0ZUzzmkKpRwjdbayRJ0udqYmvoo_Gk2p843SNaAhvk6IOSeSOpDz_iJqSEpfGHZQZxHKJub7NDbusrI1","2019-10-07T17:34:57Z",11,10,0.7843043640976007,0.4748649669041882,-18,1,34,43745.6888407755,43745.6977679051,"Deutschland",3,5,6,4,5,5,5,4,6,4,2,5,2,2,4,5,NA,1,67,6,565
"oFARu4K_tgiqSuDlog85B1JsTG3LAvdlrAmAIy8Eh6iOQ6JkUANse731BsdmntBTwnYh5ZS_2IssSfJAjg8iQ_0wfcx2f6HfHk6rJMMl0dY1","2019-10-07T17:50:01Z",11,8,0.8080197062698752,0.4523779370777735,-20,2,167,43745.7002752315,43745.7067239931,"Deutschland",3,1,6,5,5,1,1,6,7,4,3,4,3,2,5,5,"Mein Durchhaltevermögen",2,66,6,488
"ETRYf_Nzr81bBd5VHyQSb-g5W8TAjyij2h8nIXt-NbUsgH5qWKqMkR7CD64uYunIXelhzhonOLZvS5TeN0mhP2Mx-4ZL3ZviOoLgxSdmVqU1","2019-10-07T18:04:54Z",10,7,0.805721189628502,0.4242554965640876,-23,2,89,43745.7099817477,43745.7168540509,"Deutschland",2,4,4,4,4,4,2,2,6,4,3,5,3,1,4,5,"Idylle und Unglück",2,70,6,571
"i3B9av0LRN1gTpi71WyWXze24Rb_GkxuystZA_C0Qf1wmWQHdzFJ0MNbe-Mj_wrOp_lKF8NiJtvI32UbYbPLAgxHP3Iw4uSFLmm9YdYyKus1","2019-10-07T18:04:57Z",11,10,0.8310372358138713,0.4213722460354004,-23,3,137,43745.7103002315,43745.7164043634,"Deutschland",4,4,6,5,5,2,1,2,5,4,2,3,3,2,3,3,"keine Ahnung",2,52,4,458
"ncf5RoEM4JPdxkHSS5gssIxIDBPxVXfOpYPxJnMJdbYPuqJOYV7Uw9lTaKPlby2eQvA9gLmR1MDu8CZIVIKoC9PdtgxiDwKdSOMRlwqAevU1","2019-10-07T18:05:30Z",11,8,0.857936094091114,0.4025662293427205,-25,4,380,43745.6682663194,43745.6782480324,"Deutschland",3,3,7,7,1,5,2,2,7,4,2,3,2,1,4,3,NA,1,29,2,829
"F3ell3oy2CaxVclLTkNBDH8_VcwwjycHlMcIx71wI1kSX1GBjuzvfPkD9UIXaB-T7H_9rtZOIYclcA4SdKGG5ad6SmOegY4poKY8D7ZMhww1","2019-10-07T18:42:05Z",6,14,0.747138047706733,0.4425328649145598,-21,0,22,43745.7341942477,43745.7404731134,"Deutschland",3,2,6,4,4,5,4,6,5,3,4,3,2,3,3,5,"keine Ahnung",2,67,6,498
"-KyTMvFsBDCh9jZc1he0Z91OgkeEGCjKo5i8EZ3XhtgFpBA8rCsgI-g6SNS5H2mOekaC24I9Bvx0Fw9RihJUGUMA-gtfzM__M50v99ZCPXc1","2019-10-07T18:45:32Z",9,11,0.7217133814094188,0.449967106722273,-20,-1,647,43745.7385577546,43745.7446711458,"Deutschland",2,2,6,6,4,4,2,6,4,3,2,4,3,2,3,5,"Einfluss der werbungauf das Zeitgeschehen",1,66,6,515
"6yyfIvPsuxURxK2isul0gcM6U1z_G3I-RiYS5FaMrG_rIyFDL92Iw-e-3hnmGRFawk4J7Am87QPPA1h44AMGN2QLBXQRW5qSnuYvj6gWZpU1","2019-10-07T19:05:31Z",9,13,0.6973635232921211,0.4818186426340519,-17,-2,142,43745.7523518171,43745.7597292477,"Deutschland",3,3,4,4,5,4,3,4,3,2,3,2,3,3,2,5,"keine Ahnung",2,43,3,615
"0rPqK5Y7uypsaWpiwwhy9sszDS9jrcl6n-axHs1r0eys7yiJ4SGx0htHnenFcH0mCxfIJYqqNSylbM1sdHPzCUaOPR84EcqVqmE-AQ8M8_A1","2019-10-07T19:54:59Z",7,13,0.6364626931241464,0.5165714638395086,-14,-5,410,43745.7865339468,43745.7941354167,"Deutschland",3,1,6,6,6,6,5,6,3,3,4,3,4,4,4,5,"weiß nicht",2,60,5,542
"eHQvGdrhfw84RTztd7E84u_fzVtB0DaHaII_qhv0jh6SxUBIjOMCHZ5bmZ_bMgrp40ZDWZzj1MNZ6-WCX2D86ENA9m5hTR1b-jjPLaj4Cu01","2019-10-07T20:00:42Z",10,14,0.6339452203329006,0.5698365246266051,-10,-5,746,43745.7905981134,43745.7980200579,"Deutschland",4,4,7,7,5,7,1,7,7,5,2,4,2,2,4,5,"wie häufig kommen die Bilder",2,35,3,552
"mZG2Yb0ZRPUVa8WtwThEJaEWOlW0rTKAtUFhe7hqKfr115NOXaigMIXAmYJ9mz0eNYb5O0k3sEm9pTn4RtvwjlpR55ixggpBqt1-YUxSy_Q1","2019-10-07T20:04:27Z",11,13,0.650578593586969,0.6126310477714082,-7,-4,495,43745.7511981482,43745.7585231481,"Deutschland",1,4,4,5,3,6,2,3,7,5,2,5,1,1,5,5,"Nachhaltigkeit",1,36,3,607
"pN_OQzjf5Ql9NdE9WSX7fNEd4EGBoLJ9UioTsFa9V0XNff6D0Z7Oz1jc-PkJWt3jBlkjGsGbxk58lJog7aANPycNJQI8W2GynFzJGuNAVFg1","2019-10-07T20:14:35Z",13,8,0.7109050724079882,0.5814945990962004,-9,-1,176,43745.7997297106,43745.807633831,"Deutschland",3,4,7,7,7,6,6,5,3,4,2,2,5,2,3,5,"ob ich mir positive oder negative Bilder gemerktt habe also meine Einstellung",2,69,6,602
"ApNGuaeiQ0O8GhfJi0UnNwwwFF4Rj6NH9hIfi6ajXaVYabaqD6AuN0My-6sVyLiYekaKu0MzS7k8tqcEI8cAZ5BEtBQap2cTR8uCjmthLSY1","2019-10-07T20:43:51Z",8,11,0.6672523211725648,0.5936114841887801,-8,-3,96,43745.8192403935,43745.8276601852,"Deutschland",3,4,7,7,3,7,7,6,5,4,5,3,4,4,4,5,NA,2,66,6,706
